운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,수락산디자인거리,1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 동일로242길 67 (상계동, 수락산디자인거리) 휴플러스수락한신아파트 앞 노상공영주차장",24시간 이용가능,,급속(100kW단독),N,
서울시,수락산디자인거리,2,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 동일로242길 67 (상계동, 수락산디자인거리) 휴플러스수락한신아파트 앞 노상공영주차장",24시간 이용가능,,급속(100kW단독),N,
서울시,수락산디자인거리 공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,서울특별시 노원구 상계동 1119 해주네 곰탕 앞,24시간 이용가능,,급속(50kW단독),N,
서울시,수락산스포츠타운,1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 상계동 123-1(체육시설 관리동) (상계동, 수락산스포츠타운) 지상1층 우측 5m",24시간 이용가능,,급속(50kW단독),N,
서울시,수서역 공영주차장 복합충전소,1,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,"서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,수서역 공영주차장 복합충전소,2,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,"서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,수서역 공영주차장 복합충전소,3,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,"서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,수서역 공영주차장 복합충전소,4,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,"서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,수서역 공영주차장 복합충전소,5,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,"서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,수서역 공영주차장 복합충전소,6,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,"서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,수유동 가오천 공영주차장 전기차 충전소,1,AC완속,주차시설,공영주차장,서울특별시,강북구 ,서울특별시 강북구 한천로150길 20 ,24시간 이용가능,,완속(7kW단독),N,
서울시,숭인도담공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,종로구 ,서울특별시 종로구 숭인동길 81 숭인도담공영주차장,24시간 이용가능,,급속(100kW단독),N,
서울시,시립서부노인전문요양센터,1,AC완속,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 월드컵로36길 15 지상 주차장,24시간 이용가능,,완속(7kW단독),N,
서울시,신대방동 거주자우선주차장,1,DC콤보,주차시설,일반주차장,서울특별시,동작구 ,서울특별시 동작구 시흥대로 596 가6번 구획,24시간 이용가능,,급속(50kW단독),N,
서울시,신도림역 공영주차장 ,1,DC콤보,공공시설,공공기관,서울특별시,구로구 ,서울특별시 구로구 새말로 111 구로미래도서관 주차장 ,24시간 이용가능,,급속(50kW단독),N,
